type	period	total
ats	4	15
ats	5	17
ats	6	4
ats	7	11
ats	8	10
ats	9	16
ats	10	8
ats	11	11
ats	12	12
ats	13	9
ats	14	4
ats	15	5
ats	16	4
ats	17	1
ats	18	1
ats	19	7
ats	20	6
ats	21	8
ats	22	16
ats	23	24
ats	24	25
ats	25	16
ats	26	31
ats	27	16
ats	28	16
ats	29	20
ats	30	14
ats	31	17
ats	32	12
ats	33	11
ats	34	13
ats	35	4
ats	36	29
ats	37	11
ats	38	5
ats	39	5
ats	40	5
ats	41	2
ats	42	4
ats	43	5
ats	44	3
ats	45	10
ats	46	13
ats	47	22
ats	48	17
ats	49	23
ats	50	13
ats	51	20
ats	52	19
ats	53	14
ats	54	19
ats	55	16
ats	56	14
ats	57	14
ats	58	13
ats	59	14
ats	60	2
ats	61	4
ats	62	8
ats	63	11
ats	64	3
ats	65	1
ats	66	4
ats	67	1
ats	68	6
ats	69	12
ats	70	8
ats	71	18
ats	72	19
ats	73	14
ats	74	11
ats	75	10
ats	76	23
ats	77	19
ats	78	22
ats	79	10
ats	80	10
ats	81	10
ats	82	19
ats	83	16
ats	84	12
ats	85	8
ats	86	6
ats	87	6
ats	88	5
ats	89	9
ats	90	12
ats	91	4
ats	92	4
ats	93	4
ats	94	9
ats	95	13
ats	96	10
ats	97	27
ats	98	13
ats	99	22
ats	100	10
ats	101	19
ats	102	20
ats	103	16
ats	104	16
ats	105	13
ats	106	8
ats	107	8
ats	108	7
ats	109	13
ats	110	6
ats	111	0
ats	112	7
ats	113	14
ats	114	9
ats	115	9
ats	116	6
ats	117	8
ats	118	13
ats	119	10
ats	120	16
ats	121	13
ats	122	18
ats	123	16
ats	124	28
ats	125	18
ats	126	18
ats	127	19
ats	128	8
ats	129	13
ats	130	7
ats	131	10
ats	132	11
ats	133	11
ats	134	8
ats	135	2
ats	136	2
ats	137	2
ats	138	5
ats	139	3
ats	140	4
ats	141	5
ats	142	17
ats	143	14
ats	144	20
ats	145	29
ats	146	21
ats	147	21
ats	148	34
ats	149	21
ats	150	25
ats	151	18
ats	152	19
ats	153	28
ats	154	29
ats	155	50
ats	156	37
ats	157	9
ats	158	6
ats	159	6
ats	160	3
ats	161	5
ats	162	3
ats	163	6
ats	164	7
ats	165	5
ats	166	15
ats	167	18
ats	168	11
ats	169	40
ats	170	32
ats	171	19
ats	172	28
ats	173	30
ats	174	50
ats	175	110
ats	176	28
ats	177	17
ats	178	23
ats	179	41
ats	180	25
ats	181	25
ats	182	14
ats	183	8
ats	184	4
ats	185	4
ats	186	4
ats	187	10
ats	188	24
ats	189	39
ats	190	92
ats	191	113
ats	192	170
ats	193	101
ats	194	100
ats	195	107
ats	196	92
ats	197	62
ats	198	89
ats	199	58
ats	200	60
ats	201	52
ats	202	43
ats	203	53
ats	204	52
ats	205	27
ats	206	21
ats	207	2
ats	208	9
ats	209	6
ats	210	5
ats	211	2
ats	212	7
ats	213	12
